id,sentence
1,Kot pije wodę.
2,Maria zjadła zupę.
3,Nie ma kota.
4,Lubię zapach kwiatów na wiosnę.
5,Daję kotu mleko.
6,Pomagam dziewczynie.
7,Widzę chłopca.
8,Mam komputer.
9,Jestem z kotem.
10,Idę na spacer z Moniką.
11,Mówię o kocie.
12,Dzieci bawiły się na podwórku.
13,Kocie, chodź tutaj!
14,Marku!
15,Nie mogę znaleźć mojego telefonu.
16,Lubię kawę z cukrem.
17,Rozmawiamy o książce.
18,Oddałam książkę Piotrkowi.
19,Ona bierze kota na ręce.
20,"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu."
